Account,date,daily_pnl,num_trades,avg_trade_size_usd,wins,losses,Classification,win_rate,long_ratio,activity_segment,consistency_segment,size_segment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,101.860928,84,223.8904761904762,28,3,Extreme Greed,0.9032258064516129,0.5,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,388.366016,73,221.81794520547948,26,0,Greed,1.0,0.36363636363636365,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,506.512551,63,166.3415873015873,23,7,Greed,0.7666666666666667,0.23529411764705882,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,115.51218300000001,34,140.99176470588236,17,0,Greed,1.0,0.0625,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,255.808312,125,455.63544,42,1,Greed,0.9767441860465116,0.5909090909090909,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,496.221792,107,1121.107570093458,32,1,Greed,0.9696969696969697,0.425531914893617,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,59,263.3476271186441,21,0,Greed,1.0,0.13333333333333333,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,416.546688,101,217.69336633663366,46,1,Greed,0.9787234042553191,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,250.581483,69,217.15115942028987,36,3,Greed,0.9230769230769231,0.3076923076923077,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,232.66549799999999,81,156.68296296296296,40,8,Greed,0.8333333333333334,0.15625,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,87.752181,82,101.1840243902439,44,3,Greed,0.9361702127659575,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,114.68421000000001,80,82.075375,21,0,Extreme Greed,1.0,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,267.846227,103,103.70087378640777,72,4,Extreme Greed,0.9473684210526315,0.0,Frequent,Inconsistent,Small Size
